Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MIRKO MAKAUS                                        ;AKCIJA MLADIH - AM, Nositelj liste: MARIO ALEMPIJEVIÆ, dipl.oec.                                                    ;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: RADOVAN SMOKVINA, dipl.ing.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: IVAN LESINGER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: NENAD PETROVIÆ                                       ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: ANTO ANUŠIÆ                                 ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: SILVANO HRELJA                    ;HRVATSKI DEMOKRŠÆANI - DEMOKRŠÆANI, Nositelj liste: SREÆKO BUTORAC, dr.med.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA ŠKRIBULJA, prof.;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ                                        ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS, STRANKA UMIROVLJENIKA - SU, Nositelj liste: mr.sc. IVAN JANKO;ISTARSKI DEMOKRATSKI SABOR - IDS, Nositelj liste: DAMIR KAJIN                    ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: VLADIMIR BRKLJAÈA;LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: NIKOLA IVANIŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;ZELENA ALTERNATIVA-STRANKA POTROŠAÈA - ZA-SPOT, Nositelj liste: PETAR CIGANOVIÆ                                 ;ZELENA STRANKA - ZS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, Nositelj liste: ALJOŠA BABIÆ                                 ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, DEMOKRATSKI CENTAR - DC, Nositelj liste: mr.sc. JOSIP-ANTON RUPNIK;;;
BOSNA I HERCEGOVINA;108;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;109;;6;6;6;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
BOSNA I HERCEGOVINA;110;;5;5;5;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;111;;5;5;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
BOSNA I HERCEGOVINA;112;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;113;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;114;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;115;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;116;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;117;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;118;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;119;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;120;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;121;;6;6;6;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;122;;5;5;4;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;123;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BRAZIL;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;
BRAZIL;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BUGARSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
CRNA GORA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;4;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈEŠKA REPUBLIKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈILE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈILE;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈILE;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DANSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
EGIPAT;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;
FINSKA;1;;5;5;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;;;
FRANCUSKA;1;;19;19;18;1;0;0;0;0;0;8;0;2;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;1;;;
FRANCUSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
FRANCUSKA;3;;11;11;10;1;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GRÈKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;
INDIJA;1;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;
INDONEZIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
IRAN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
IRSKA;1;;8;8;8;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;;;
ITALIJA;1;;19;19;19;0;1;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;2;0;0;1;3;1;0;0;;;
ITALIJA;2;;35;35;35;0;0;0;0;0;0;11;0;1;1;0;2;0;0;0;0;0;5;0;0;2;13;0;0;0;;;
ITALIJA;3;;12;12;12;0;0;1;0;0;1;4;0;1;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;;;
IZRAEL;1;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
JAPAN;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
JUŽNOAFRIÈKA REPUBLIKA;1;;3;3;3;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;2;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
KANADA;3;;2;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;5;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;6;;20;20;20;0;0;0;0;0;0;15;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;7;;8;8;8;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;;
KANADA;8;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
LIBIJSKA ARAP. DŽAM.;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MAÐARSKA;1;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MAÐARSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MAKEDONIJA;1;;4;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;;;
MALEZIJA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;
MAROKO;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NIZOZEMSKA;1;;13;13;13;0;0;0;0;0;0;6;0;1;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;1;;;
NORVEŠKA;1;;6;6;6;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;;
NOVI ZELAND;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NJEMAÈKA;1;;9;9;9;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
NJEMAÈKA;2;;10;10;10;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;;;
NJEMAÈKA;3;;4;4;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NJEMAÈKA;4;;21;21;21;0;0;0;0;0;0;19;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NJEMAÈKA;5;;4;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;;
NJEMAÈKA;6;;21;21;21;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;;;
NJEMAÈKA;7;;30;30;29;1;0;0;0;0;0;20;0;0;0;0;6;0;0;0;0;0;0;2;0;1;0;0;0;0;;;
NJEMAÈKA;8;;11;11;11;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
NJEMAÈKA;9;;15;15;15;0;0;0;0;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;;;
NJEMAÈKA;10;;25;25;25;0;0;0;0;0;0;18;0;0;0;0;1;0;0;0;0;0;1;0;0;1;4;0;0;0;;;
NJEMAÈKA;11;;21;21;21;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
NJEMAÈKA;12;;30;30;30;0;0;0;0;0;0;19;0;2;0;0;0;0;0;0;0;0;1;0;0;0;8;0;0;0;;;
NJEMAÈKA;13;;27;27;27;0;0;0;0;0;0;23;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;;;
NJEMAÈKA;14;;28;28;27;1;0;0;0;0;0;19;0;3;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;;;
NJEMAÈKA;15;;21;21;21;0;0;1;0;1;1;14;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;;;
NJEMAÈKA;16;;15;15;15;0;0;0;0;0;0;10;0;0;1;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;;;
NJEMAÈKA;17;;17;17;17;0;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;;;
NJEMAÈKA;18;;25;25;25;0;0;0;0;0;0;19;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;;;
NJEMAÈKA;19;;20;20;20;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0;0;;;
NJEMAÈKA;20;;16;16;16;0;0;0;0;0;0;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
NJEMAÈKA;21;;12;12;12;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;;
NJEMAÈKA;22;;11;11;11;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;;;
NJEMAÈKA;23;;16;16;16;0;0;0;0;0;0;13;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;
PERU;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
POLJSKA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PORTUGAL;1;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RUMUNJSKA;1;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;;;
RUMUNJSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RUSKA FEDERACIJA;1;;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;;;
SAD;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SAD;2;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAD;3;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAD;4;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAD;5;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAD;6;;26;25;25;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;0;0;0;;;
SLOVAÈKA REPUBLIKA;1;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SLOVENIJA;1;;15;15;15;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;;;
SRBIJA;1;;4;4;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
SRBIJA;2;;7;7;7;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;;;
SRBIJA;3;;3;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;
SRBIJA;4;;4;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;
SRBIJA;5;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
SRBIJA;6;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;;
SRBIJA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;8;;5;5;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
SRBIJA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;10;;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SRBIJA;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;12;;5;5;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
SRBIJA;13;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
SRBIJA;14;;3;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SRBIJA;15;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;
ŠPANJOLSKA;1;;7;7;7;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;;
ŠPANJOLSKA;2;;3;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;;
ŠVEDSKA;1;;7;7;7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;4;0;0;0;;;
ŠVEDSKA;2;;10;10;10;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;;;
ŠVEDSKA;3;;16;16;16;0;0;0;0;0;0;9;0;0;0;0;3;0;0;2;0;0;0;0;0;0;1;0;0;1;;;
ŠVICARSKA;1;;49;49;49;0;0;0;0;0;0;32;0;2;0;0;4;0;0;0;0;0;2;3;0;1;4;0;0;1;;;
ŠVICARSKA;2;;20;20;20;0;0;0;0;0;0;12;0;3;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;;;
ŠVICARSKA;3;;8;8;8;0;0;0;0;0;0;3;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;;;
ŠVICARSKA;4;;74;74;72;2;0;0;1;2;0;57;0;1;0;0;4;0;1;0;0;0;0;0;0;0;6;0;0;0;;;
ŠVICARSKA;5;;73;73;73;0;0;0;1;0;0;55;0;0;0;0;4;0;0;0;0;0;0;0;0;2;10;1;0;0;;;
TURSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
TURSKA;2;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
UKRAJINA;1;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
VELIKA BRITANIJA;1;;10;10;10;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;;;
VENECUELA;1;;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;;;
UKUPNO INOZEMSTVO ZA VIII. IJ.;;;1436;1435;1425;10;1;6;2;6;3;979;6;40;6;2;59;5;6;4;1;5;30;7;5;25;217;3;0;7;;;
