Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
KARLOVAC;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KARLOVAC;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KAŠTELA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KNIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KNIN;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KOPRIVNICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KORÈULA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KRAPINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KRIŽEVCI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KRK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KUTINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
LABIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
LEPOGLAVA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
MAKARSKA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
MALI LOŠINJ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
METKOVIÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NAŠICE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NOVA GRADIŠKA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NOVALJA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NOVI MAROF;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NOVSKA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OBROVAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OGULIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OPATIJA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ORAHOVICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OSIJEK;1;;3;3;3;0;2;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
OSIJEK;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OTOÈAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PAG;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PAKRAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PAZIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PLOÈE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POREÈ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POŽEGA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POŽEGA;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POŽEGA;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;5;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;6;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;7;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;8;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;9;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;10;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PULA;11;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RAB;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;5;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;6;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;7;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RIJEKA;8;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ROVINJ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SAMOBOR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SENJ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SINJ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SINJ;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;5;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;6;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;7;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;8;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SISAK;9;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SKRADIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SLATINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SLAVONSKI BROD;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SOLIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;5;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;6;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;7;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;8;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;9;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;10;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;11;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;12;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SPLIT;13;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SUPETAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SVETI IVAN ZELINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ŠIBENIK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ŠIBENIK;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
TRILJ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
TROGIR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
UMAG;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VALPOVO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VARAŽDIN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VARAŽDIN;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VARAŽDINSKE TOPLICE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VELIKA GORICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VELIKA GORICA;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VELIKA GORICA;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VINKOVCI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VIROVITICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VIS;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VODICE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VRBOVEC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VRLIKA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
VUKOVAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;5;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;6;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;7;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;8;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;9;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;10;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;11;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;12;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;13;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;14;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;15;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;16;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;17;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;18;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;19;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZADAR;20;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-CENTAR,ZAPAD;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-CENTAR,ZAPAD;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-CENTAR,ZAPAD;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-CENTAR,ZAPAD;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-JUGOISTOK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-JUŽNI DIO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ZAPREŠIÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ŽUPANJA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BIBINJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BILICE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BISKUPIJA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BRINJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
CIVLJANE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DICMO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DONJI LAPAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUGOPOLJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DVOR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ERVENIK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GALOVAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GRAÈAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
HRVACE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
JASENICE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KALI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KARLOBAG;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KIJEVO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KISTANJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KLIS;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KOLAN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KUKLJICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
LASTOVO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
LEÆEVICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
LIŠANE OSTROVIÈKE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
LOVINAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
MARINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
MLJET;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
MUÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
MURTER-KORNATI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
NOVIGRAD;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OKRUG;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OREBIÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
OTOK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PAKOŠTANE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PAŠMAN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PERUŠIÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PIROVAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PITOMAÈA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PLITVIÈKA JEZERA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POLAÈA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POLIÈNIK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POPOVAÈA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POSEDARJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
POVLJANA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PREKO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PRGOMET;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PRIMORSKI DOLAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PRIMOŠTEN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PRIVLAKA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
PROMINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RAŽANAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ROGOZNICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
RUŽIÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SALI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SEGET;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
STANKOVCI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
STARIGRAD;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SUKOŠAN;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
SVETI FILIP I JAKOV;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ŠKABRNJA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ŠOLTA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
