Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JOSO ŠIKIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: HRVOJE RUNJIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: dr.sc. RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: MARIJANA PETIR;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DALIBOR MARKUŠIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MIROSLAV JURIÆ;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBO ÆESIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: VESNA BALENOVIÆ                                 ;NEOVISNA LISTA, Nositelj liste: ZDRAVKO DUŽIÆ                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: MIROSLAV SLAVIÆ;ZELENA LISTA, Nositelj liste: NENAD HORVATOVIÆ                                                          ;;;;
BELGIJA;1;;12;12;12;0;0;0;0;0;0;0;0;3;0;2;0;0;1;1;0;0;0;0;0;0;5;0;0;;;;
BOSNA I HERCEGOVINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;2;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;
BOSNA I HERCEGOVINA;3;;6;6;6;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;;;;
BOSNA I HERCEGOVINA;4;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;5;;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;6;;7;7;7;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;8;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;9;;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;11;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;12;;10;10;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;13;;7;7;7;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;14;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;15;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;16;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;17;;22;22;22;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;18;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;19;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;21;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;22;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;23;;10;10;10;0;0;0;0;0;0;0;1;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;26;;2;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;27;;7;7;6;1;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;28;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;33;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;35;;11;11;11;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;36;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;38;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;40;;10;10;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;41;;5;5;5;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;42;;3;3;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;43;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;44;;2;2;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;45;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;46;;11;10;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;47;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;48;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;
BOSNA I HERCEGOVINA;49;;6;6;6;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;50;;7;7;7;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;51;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;52;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;53;;5;5;4;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;54;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;55;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;56;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;57;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;58;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;59;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;60;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;61;;5;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;62;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;
BOSNA I HERCEGOVINA;63;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;64;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;65;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;66;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;67;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;68;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;69;;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;70;;9;9;8;1;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;71;;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;72;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;
BOSNA I HERCEGOVINA;73;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;74;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;75;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;76;;8;8;8;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;77;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;78;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;79;;5;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;80;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;81;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;82;;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;83;;11;10;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;84;;20;20;20;0;0;0;0;0;0;0;0;18;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;85;;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;86;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;87;;8;8;8;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;88;;7;7;7;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;89;;9;9;9;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;90;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;91;;9;9;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;92;;6;6;6;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;93;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;
BOSNA I HERCEGOVINA;94;;14;14;13;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;
BOSNA I HERCEGOVINA;95;;10;10;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;96;;19;19;19;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;97;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;98;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;99;;6;6;6;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;101;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;102;;19;19;19;0;0;0;0;0;0;0;0;16;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;103;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;104;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;105;;20;20;20;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;106;;17;17;17;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;107;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;108;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;109;;3;3;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;110;;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;111;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;112;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;113;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;114;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BOSNA I HERCEGOVINA;115;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
