Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: MLADENKA ATANACKOVIÆ, Zamjenik: JASMINKA IGNJATOVIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DUŠAN CRNKOVIÆ, ing., Zamjenik: BOŽIDAR SLAVULJ, ing. grað., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: JELICA ÈANAK, Zamjenik: BRANKICA JEROTIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: PERO DEJANOVIÆ, Zamjenik: STEVAN IVANIÆ, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETAR DUBAIÆ, Zamjenik: PETAR VUJAKLIJA, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: VELJKO DŽAKULA, dipl.ing. šumarstva, Zamjenik: MILAN UZELAC, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: RATKO GAJICA, Zamjenik: JOVAN AJDUKOVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: DRAGAN HINIÆ, dipl.iur., Zamjenik: RADOVAN VUKELIÆ, dr.med., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: CVIJO JANDRIÆ, Zamjenik: ZORA LUKIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: LJUBICA JAVORINA-ŠOLAJA, dr.med., Zamjenik: MILE JAVORINA, ing., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: VLADIMIR KOSIÆ, dipl.oec., Zamjenik: VESELIN GRBIÆ, Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: RADIVOJ-RADE LESKOVAC, dipl. polit., Zamjenik: PERO MATIÆ, prof., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: dr.sc. SVETOZAR LIVADA, Zamjenik: STANIŠA ŽARKOVIÆ, dipl. soc.radnik, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: BRANKO LUBOVAC, dipl.oec., Zamjenik: STEVAN BANJANIN, prof., Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: MILUTIN LUKIÆ, Zamjenik: MLADEN MITROVIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: MILICA MARIÆ, Zamjenik: SAŠA VASILJEV, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DEJAN MEDAKOVIÆ, Zamjenik: MARIJA DVORNIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: dr.sc. MILORAD PUPOVAC, Zamjenik: ALEKSANDAR MILOŠEVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: MILE HORVAT, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: LUKA ŠUŠAK, dipl.iur., Zamjenik: MILAN RODIÆ, dipl.iur., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;;;;;;;
BELGIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;3;;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;10;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;13;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;14;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;15;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;16;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;17;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;21;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;31;;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;35;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;40;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;42;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;43;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;44;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;45;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;46;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;47;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;48;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;49;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;51;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;52;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;53;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;54;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;55;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;56;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;57;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;58;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;59;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;60;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;61;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;62;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;63;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;64;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;65;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;66;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;67;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;68;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;69;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;70;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;71;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;72;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;73;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;74;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;75;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;76;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;77;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;78;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;79;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;80;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;81;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;82;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;83;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;84;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;85;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;86;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;87;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;88;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;89;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;90;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;91;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;92;;8;8;8;0;0;0;0;0;0;0;3;0;0;1;0;1;2;0;0;0;0;5;5;1;;;;;;;
BOSNA I HERCEGOVINA;93;;18;18;18;0;1;0;0;1;0;5;7;0;2;0;0;2;1;0;0;1;0;10;6;5;;;;;;;
BOSNA I HERCEGOVINA;94;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;95;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;96;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;97;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;98;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;99;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;101;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;102;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;104;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;105;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;106;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;107;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;108;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;109;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;110;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;111;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;112;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
BOSNA I HERCEGOVINA;113;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
